,Unnamed: 0,company,salary,lower_bound_salary,upper_bound_salary,base_pay,bonus_pay,cash_bonus,stock_bonus,Position_clean,Country
485,485,John Doe,50460.0,48720.0,52200.0,50460.0,50460.0,,,Data Scientist,UK
486,486,Aire,118320.0,113100.0,123540.0,117450.0,117450.0,,1.74,Data Scientist,UK
487,487,siHealth,70470.0,67860.0,73080.0,69600.0,69600.0,,,Data Scientist,UK
488,488,Polymatica,72384.0,68764.8,76003.2,72384.0,72384.0,,,Data Scientist,UK
489,489,Ministère de l'Éducation nationale,37410.0,36540.0,38280.0,38280.0,38280.0,,,Data Scientist,UK
490,490,Brainbow,60900.0,57420.0,64380.0,60900.0,60900.0,,,Data Scientist,UK
491,491,Clear AI,122670.0,118320.0,127020.0,122670.0,122670.0,,,Data Scientist,UK
492,492,QA Media Ltd,34800.0,33060.0,36540.0,34800.0,34800.0,,,Data Scientist,UK
493,493,Traydstream,125280.0,120060.0,130500.0,126150.0,126150.0,,,Data Scientist,UK
494,494,Outlook Energy,93960.0,90480.0,97440.0,93960.0,93960.0,17400.0,,Data Scientist,UK
495,495,Red Flag Alert,25334.4,25334.4,28953.6,25334.4,25334.4,,,Data Scientist,UK
496,496,Adbrain,111360.0,106140.0,116580.0,110490.0,110490.0,,,Data Scientist,UK
497,497,Earth-i,70470.0,67860.0,73080.0,69600.0,69600.0,,,Data Scientist,UK
498,498,The Oakland Group,61770.0,59160.0,64380.0,61770.0,61770.0,,,Data Scientist,UK
499,499,Flight Data Services,19815.12,1588.62,1715.64,,,,,Data Scientist Intern,UK
500,500,Mustard Systems,85260.0,81780.0,88740.0,84390.0,84390.0,,,Data Scientist,UK
501,501,iDataVision,43430.4,43430.4,47049.6,43430.4,43430.4,,,Data Scientist,UK
502,502,Shipamax,113970.0,109620.0,118320.0,113970.0,113970.0,,,Data Scientist,UK
504,504,iDataVision,97440.0,93960.0,100920.0,20.88,20.88,,,Data Scientist,UK
505,505,CarTrawler,88740.0,85260.0,92220.0,7830.0,7830.0,,,Data Scientist,UK
506,506,CarTrawler,93960.0,6960.0,8700.0,,,,,Data Scientist Intern,UK
508,508,CKM Analytix,77430.0,74820.0,80040.0,78300.0,78300.0,,,Data Scientist,UK
509,509,MetaVision Media,140940.0,133980.0,147900.0,141810.0,141810.0,,,Data Scientist,UK
510,510,Inside Talent,87000.0,83520.0,90480.0,87000.0,87000.0,,,Data Scientist,UK
511,511,Repositive,77430.0,74820.0,80040.0,78300.0,78300.0,,,Data Scientist,UK
512,512,Avid Media,104400.0,100920.0,107880.0,104400.0,104400.0,,,Data Scientist,UK
513,513,Portas Consulting,121800.0,116580.0,127020.0,121800.0,121800.0,,,Data Scientist,UK
514,514,Contact Lens Gallery & Designer Eyewear,87870.0,85260.0,90480.0,87870.0,87870.0,,,Data Scientist,UK
516,516,OKRA Technologies,93960.0,90480.0,97440.0,93960.0,93960.0,,,Data Scientist,UK
517,517,Jakarta,34800.0,33060.0,36540.0,,,,,Data Scientist,UK
518,518,Projecting Success,45240.0,43500.0,46980.0,45240.0,45240.0,3480.0,,Data Scientist,UK
519,519,THG,87000.0,83520.0,90480.0,,,,,Data Scientist,UK
520,520,Compare The Market (Australia),113970.0,109620.0,118320.0,113970.0,113970.0,,,Data Scientist,UK
521,521,Data Burst,95700.0,92220.0,99180.0,96570.0,96570.0,,,Data Scientist,UK
522,522,BOE,48720.0,46980.0,50460.0,48720.0,48720.0,,,Data Scientist,UK
524,524,Click Helps,69600.0,66120.0,73080.0,68730.0,68730.0,,,Data Scientist,UK
525,525,UCHealth,53070.0,50460.0,55680.0,52200.0,52200.0,,,Data Scientist,UK
