,Unnamed: 0,company,salary,lower_bound_salary,upper_bound_salary,base_pay,bonus_pay,cash_bonus,stock_bonus,Position_clean,Country
296,296,Capital One,66560.0,52000.0,72800.0,,,,,Data Scientist Intern,CA
297,297,TD,125000.0,116000.0,134000.0,125000.0,125000.0,16000.0,,Senior Data Scientist,CA
298,298,Scotiabank,113000.0,90000.0,136000.0,114000.0,114000.0,14500.0,3000.0,Senior Data Scientist,CA
299,299,Intact,94000.0,87000.0,101000.0,93500.0,93500.0,55000.0,,Senior Data Scientist,CA
300,300,Aviva,104500.0,72000.0,137000.0,104000.0,104000.0,3500.0,,Senior Data Scientist,CA
301,301,Cerebri AI,102000.0,72000.0,132000.0,100500.0,100500.0,,,Senior Data Scientist,CA
302,302,Scotiabank,79000.0,73000.0,85000.0,,,,,Data Scientist Intern,CA
303,303,Statistics Canada,45760.0,41600.0,49920.0,,,,,Data Scientist Intern,CA
304,304,University of Toronto,153000.0,146000.0,160000.0,152500.0,152500.0,,,Senior Data Scientist,CA
305,305,CIBC,100500.0,97000.0,104000.0,100000.0,100000.0,13000.0,,Senior Data Scientist,CA
306,306,IBM,92000.0,88000.0,96000.0,93500.0,93500.0,1000.0,,Senior Data Scientist,CA
307,307,Loblaw Companies,73500.0,71000.0,76000.0,73500.0,73500.0,7000.0,,Senior Data Scientist,CA
308,308,Government of Canada,99000.0,96000.0,102000.0,98500.0,98500.0,,,Senior Data Scientist,CA
309,309,Banque Nationale du Canada/National Bank of Canada,70000.0,67000.0,73000.0,70000.0,70000.0,,,Senior Data Scientist,CA
310,310,ADP,95500.0,92000.0,99000.0,95000.0,95000.0,,,Senior Data Scientist,CA
311,311,Ceridian,110000.0,106000.0,114000.0,111500.0,111500.0,3000.0,,Senior Data Scientist,CA
312,312,LoyaltyOne,104500.0,100000.0,109000.0,105500.0,105500.0,,,Senior Data Scientist,CA
313,313,Economical Insurance,85000.0,81000.0,89000.0,85000.0,85000.0,1.0,,Senior Data Scientist,CA
314,314,Intuit,93000.0,89000.0,97000.0,94000.0,94000.0,,,Senior Data Scientist,CA
315,315,Huawei Technologies,137280.0,131040.0,143520.0,,,,,Senior Data Scientist,CA
316,316,Self,89000.0,85000.0,93000.0,89500.0,89500.0,,,Senior Data Scientist,CA
318,318,CHEO,84500.0,81000.0,88000.0,84000.0,84000.0,,,Senior Data Scientist,CA
319,319,Mozilla,143500.0,139000.0,148000.0,143500.0,143500.0,26000.0,,Senior Data Scientist,CA
320,320,SurveyMonkey,135000.0,130000.0,140000.0,134500.0,134500.0,,,Senior Data Scientist,CA
321,321,GE Digital,133000.0,127000.0,139000.0,134000.0,134000.0,3000.0,,Senior Data Scientist,CA
322,322,Teradata,104000.0,100000.0,108000.0,104500.0,104500.0,,,Senior Data Scientist,CA
323,323,Environment and Climate Change Canada,112000.0,107000.0,117000.0,112000.0,112000.0,,,Senior Data Scientist,CA
324,324,Facebook,175500.0,170000.0,181000.0,176000.0,176000.0,25000.0,60000.0,Senior Data Scientist,CA
325,325,AeroInfo Systems,118500.0,114000.0,123000.0,117500.0,117500.0,5000.0,,Senior Data Scientist,CA
326,326,1QB Information Technologies 1QBit,73500.0,70000.0,77000.0,73500.0,73500.0,,,Senior Data Scientist,CA
327,327,Exiger,150500.0,144000.0,157000.0,150500.0,150500.0,13500.0,23000.0,Senior Data Scientist,CA
328,328,BlueDot,80000.0,77000.0,83000.0,80000.0,80000.0,,,Senior Data Scientist,CA
329,329,Altus Assessments,99500.0,95000.0,104000.0,100500.0,100500.0,,,Senior Data Scientist,CA
330,330,Talan,110500.0,106000.0,115000.0,110000.0,110000.0,,,Senior Data Scientist,CA
331,331,Apply Digital,139000.0,133000.0,145000.0,139500.0,139500.0,,,Senior Data Scientist,CA
332,332,Ivado Labs,151000.0,146000.0,156000.0,151500.0,151500.0,,,Senior Data Scientist,CA
333,333,Kinsol Research,97500.0,93000.0,102000.0,,,,,Senior Data Scientist,CA
335,335,Brilent,125000.0,119000.0,131000.0,126500.0,126500.0,,,Senior Data Scientist,CA
336,336,GoDaddy,144500.0,139000.0,150000.0,143500.0,143500.0,13500.0,,Senior Data Scientist,CA
337,337,Imbellus,135000.0,130000.0,140000.0,134500.0,134500.0,,,Senior Data Scientist,CA
338,338,TD,50000.0,48000.0,52000.0,,,,,Data Scientist Intern,CA
339,339,RBC,55500.0,53000.0,58000.0,55000.0,55000.0,,,Junior Data Scientist,CA
340,340,Scotiabank,47840.0,45760.0,49920.0,,,,,Data Scientist Intern,CA
341,341,University of Toronto,76960.0,74880.0,81120.0,,,,,Junior Data Scientist,CA
342,342,Rogers Communications,48000.0,4000.0,4000.0,4000.0,4000.0,,,Junior Data Scientist,CA
343,343,Bell Canada,51000.0,49000.0,53000.0,51000.0,51000.0,,,Junior Data Scientist,CA
344,344,Bell Canada,39520.0,39520.0,41600.0,,,,,Junior Data Scientist,CA
345,345,Government of Canada,78000.0,75000.0,81000.0,77000.0,77000.0,,,Junior Data Scientist,CA
346,346,Intact,59500.0,57000.0,62000.0,60000.0,60000.0,,,Junior Data Scientist,CA
347,347,Flipp,36000.0,3000.0,3000.0,,,,,Data Scientist Intern,CA
348,348,BiblioCommons,55000.0,53000.0,57000.0,,,,,Junior Data Scientist,CA
349,349,Two Hat Security,30000.0,2000.0,3000.0,,,,,Data Scientist Intern,CA
350,350,Unity Health Toronto,74000.0,71000.0,77000.0,74000.0,74000.0,,,Junior Data Scientist,CA
351,351,Boréalis (Canada),55500.0,53000.0,58000.0,55500.0,55500.0,,,Junior Data Scientist,CA
352,352,"GE Lighting, A Savant Company",65000.0,62000.0,68000.0,,,,,Junior Data Scientist,CA
353,353,Fiddlehead,54500.0,53000.0,56000.0,55000.0,55000.0,,,Junior Data Scientist,CA
354,354,Genworth,54080.0,52000.0,56160.0,,,,,Data Scientist,CA
355,355,Banque Nationale du Canada/National Bank of Canada,92000.0,88000.0,96000.0,91500.0,91500.0,10000.0,2000.0,Lead Data Scientist,CA
356,356,Orbis Investments,147000.0,141000.0,153000.0,145500.0,145500.0,5000.0,,Lead Data Scientist,CA
357,357,2nd Address,120000.0,114000.0,126000.0,119500.0,119500.0,,,Lead Data Scientist,CA
358,358,IBM,60000.0,5000.0,5000.0,,,,,Data Scientist Intern,CA
359,359,Capital One,49920.0,47840.0,52000.0,,,,,Data Scientist Intern,CA
360,360,Elsevier,109500.0,106000.0,113000.0,,,,,Data Scientist,CA
