,company,position,salary,lower_bound_salary,upper_bound_salary,base_pay,bonus_pay,cash_bonus,stock_bonus
3197,Sunrun,Data Scientist,143445.0,137550.0,149340.0,41.92,41.92,,
3198,KCG,Data Scientist,231870.0,221390.0,242350.0,229905.0,229905.0,,
3199,Shure,Data Scientist - Hourly Intern,98092.8,95368.0,103542.40000000001,,,,
3200,Hefner Energy,Data Scientist,100215.0,96940.0,103490.0,99560.0,99560.0,,
3201,MediaMath,Data Scientist - Hourly Intern,73569.6,70844.8,76294.40000000001,,,,
3202,Humana,Data Scientist - Hourly Intern,70844.8,68120.0,73569.6,,,,
3203,Applied Systems,Data Scientist,189950.0,180780.0,199120.0,191915.0,191915.0,,
3204,Guggenheim Partners,Data Scientist,173575.0,167680.0,179470.0,174885.0,174885.0,,
3205,General Dynamics Information Technology,Data Scientist - Hourly,65395.200000000004,62670.4,68120.0,65395.200000000004,65395.200000000004,,
3206,Simply Hired,Data Scientist - Hourly Intern,87193.6,84468.8,92643.2,,,,
3207,LOGICnow,Data Scientist,138860.0,133620.0,144100.0,138205.0,138205.0,,
3208,Susquehanna International Group (SIG),Data Scientist,141480.0,136240.0,146720.0,140825.0,140825.0,,
3209,Embedded Resource Group,Data Scientist,176195.0,170300.0,182090.0,176195.0,176195.0,,
3210,Aware Software,Data Scientist,94975.0,91700.0,98250.0,94320.0,94320.0,,
3211,Futuredontics,Data Scientist,142790.0,137550.0,148030.0,143445.0,143445.0,,
3212,iSoftStone,Data Scientist,127725.0,123140.0,132310.0,128380.0,128380.0,,
3213,American Tire Distributors,Data Scientist,180780.0,172920.0,188640.0,179470.0,179470.0,,
3214,Qlarant,Data Scientist - Hourly Intern,40872.0,38147.200000000004,43596.8,,,,
3215,Percolate,Data Scientist,157855.0,151960.0,163750.0,157855.0,157855.0,,
3216,Microsoft,Data Scientist - Hourly Intern,40872.0,40872.0,43596.8,,,,
3217,PayPal,Data Scientist - Intern,143445.0,137550.0,149340.0,,,,
3218,Altair Engineering,Data Scientist - Contractor,115280.0,111350.0,119210.0,,,,
3219,High Quartile,Data Scientist,134275.0,128380.0,140170.0,133620.0,133620.0,,
3220,UMBC,Data Scientist - Hourly Intern,43596.8,40872.0,46321.6,,,,
3221,C3.ai,Data Scientist - Monthly Intern,8515.0,7860.0,9170.0,,,,
3222,Biblioso,Data Scientist,159165.0,153270.0,165060.0,159165.0,159165.0,,
3223,Volvo Car USA,Data Scientist - Hourly Intern,106267.2,103542.40000000001,111716.8,,,,
3224,Ceptua IT,Data Scientist,80565.0,77290.0,83840.0,79910.0,79910.0,,
3225,Toptal,Data Scientist,85805.0,82530.0,89080.0,7205.0,7205.0,,
3226,Qubit Labs,Data Scientist,139515.0,134930.0,144100.0,139515.0,139515.0,,20.96
3227,DENSO,Data Scientist,133620.0,128380.0,138860.0,133620.0,133620.0,,
3228,Z5 Inventory,Data Scientist,113970.0,108730.0,119210.0,113315.0,113315.0,,
3229,Qcue,Data Scientist - Hourly Intern,38147.200000000004,38147.200000000004,40872.0,,,,
3230,Strap,Data Scientist,113970.0,108730.0,119210.0,114625.0,114625.0,,
3231,Intoollect,Data Scientist - Hourly Intern,43596.8,40872.0,46321.6,,,,
3232,@Global,Data Scientist,138860.0,133620.0,144100.0,138860.0,138860.0,,
3233,Truth Initiative,Data Scientist,152615.0,146720.0,158510.0,151960.0,151960.0,,
3234,GYG IT Solutions,Data Scientist,79255.0,75980.0,82530.0,79255.0,79255.0,,
3235,Sikka Software,Data Scientist - Intern,93665.0,90390.0,96940.0,,,,
3236,spaceflight industries,Data Scientist,108075.0,103490.0,112660.0,,,,
3237,Prealize,Data Scientist,234490.0,225320.0,243660.0,234490.0,234490.0,39300.0,
3238,Brinks Home Security,Data Scientist,97595.0,93010.0,102180.0,97595.0,97595.0,,
3239,GE Aviation,Data Scientist - Hourly Intern,81744.0,79019.2,84468.8,,,,
3240,Glidewell Dental,Data Scientist,161785.0,155890.0,167680.0,162440.0,162440.0,,
3241,Getty Images,Data Scientist - Hourly Intern,89918.40000000001,87193.6,92643.2,,,,
3242,iptiQ,Data Scientist - Hourly,59945.600000000006,57220.8,62670.4,59945.600000000006,59945.600000000006,,
3243,Luminus Management,Data Scientist,180125.0,172920.0,187330.0,180780.0,180780.0,138205.0,
3244,Iron Roots Creative,Data Scientist - Hourly Intern,40872.0,38147.200000000004,43596.8,,,,
3245,Silicon Valley Data Science,Data Scientist,169645.0,163750.0,175540.0,168335.0,168335.0,,
3246,Matomy Media Group,Data Scientist - Contractor,97595.0,93010.0,102180.0,,,,
3247,Capital Group,Data Scientist,212875.0,203050.0,222700.0,212220.0,212220.0,107420.0,
3248,TIAA,Data Scientist - Intern,55675.0,53710.0,57640.0,,,,
3249,Spotify,Data Scientist - Monthly Intern,9825.0,9170.0,10480.0,,,,
3250,Methodist Hospital (KY),Data Scientist - Hourly,43596.8,40872.0,46321.6,43596.8,43596.8,,
3251,Lumileds,Data Scientist - Hourly Intern,92643.2,89918.40000000001,98092.8,,,,
3252,C Spire,Data Scientist - Hourly Intern,54496.0,51771.200000000004,57220.8,,,,
3253,Meltwater,Data Scientist - Hourly Intern,87193.6,84468.8,92643.2,,,,
3254,i360,Data Scientist,149340.0,144100.0,154580.0,148685.0,148685.0,,
3255,Lumiata,Data Scientist - Intern,70085.0,66810.0,73360.0,,,,
3256,Equitable,Data Scientist,198465.0,189950.0,206980.0,201085.0,201085.0,20305.0,
3257,St. Jude Children's Research Hospital,Data Scientist,138205.0,133620.0,142790.0,138205.0,138205.0,,
3258,PopHealthCare,Data Scientist,174885.0,167680.0,182090.0,175540.0,175540.0,,
3259,VideoAmp,Data Scientist,152615.0,146720.0,158510.0,151305.0,151305.0,,
3260,Ondot Systems,Data Scientist,140825.0,134930.0,146720.0,140825.0,140825.0,,
3261,LLamasoft,Data Scientist,134275.0,128380.0,140170.0,133620.0,133620.0,,
3262,JW Player,Data Scientist,146720.0,140170.0,153270.0,145410.0,145410.0,,
3263,Johns Hopkins Medicine,Data Scientist - Hourly,70844.8,68120.0,73569.6,70844.8,70844.8,,
3264,UNC Wilmington,Data Scientist - Hourly,54496.0,51771.200000000004,57220.8,54496.0,54496.0,,
3265,Golden Gate University,Data Scientist - Hourly Contractor,108992.0,106267.2,114441.6,,,,
3266,Driver,Data Scientist,172265.0,165060.0,179470.0,172920.0,172920.0,,
3267,Dun & Bradstreet,Data Scientist,169645.0,163750.0,175540.0,170300.0,170300.0,17685.0,
3268,Data Innovation Labs,Data Scientist - Monthly,10480.0,10480.0,10480.0,,,,
3269,E*TRADE Financial,Data Scientist,166370.0,159820.0,172920.0,167025.0,167025.0,3930.0,
3270,Foresite Labs,Data Scientist,189950.0,183400.0,196500.0,190605.0,190605.0,51745.0,
3271,TSYS|Total System Services,Data Scientist,144100.0,138860.0,149340.0,144755.0,144755.0,,
3272,Takeda Pharmaceuticals,Data Scientist,96285.0,93010.0,99560.0,95630.0,95630.0,6550.0,
3273,Branded Group,Data Scientist,87115.0,83840.0,90390.0,87770.0,87770.0,,
3274,Valley Bank,Data Scientist - Hourly Intern,73569.6,70844.8,76294.40000000001,,,,
3275,Sumo Logic,Data Scientist,181435.0,174230.0,188640.0,183400.0,183400.0,,
3276,OSU Medical Center,Data Scientist,66155.0,64190.0,68120.0,66155.0,66155.0,,
3277,Valorem Reply,Data Scientist,161130.0,154580.0,167680.0,162440.0,162440.0,3275.0,
3278,OfferUp,Data Scientist,180780.0,172920.0,188640.0,180125.0,180125.0,,
3279,Tino IQ,Data Scientist,243660.0,234490.0,252830.0,243005.0,243005.0,,
3280,Shaw Industries,Data Scientist,69430.0,66810.0,72050.0,70085.0,70085.0,,
3281,NaviNet,Data Scientist,144100.0,137550.0,150650.0,142790.0,142790.0,,
3282,Petco,Data Scientist - Hourly Intern,51771.200000000004,49046.4,54496.0,,,,
3283,eFinancial,Data Scientist,115280.0,110040.0,120520.0,115280.0,115280.0,,
3284,Boston Market,Data Scientist,121175.0,116590.0,125760.0,121830.0,121830.0,,
3285,The David J. Joseph Company,Data Scientist - Hourly Intern,54496.0,54496.0,57220.8,,,,
3286,Northwell Health,Data Scientist,133620.0,128380.0,138860.0,133620.0,133620.0,,
3287,Raymond,Data Scientist - Hourly,49046.4,46321.6,51771.200000000004,49046.4,49046.4,2620.0,
3288,Harland Clarke,Data Scientist,102180.0,98250.0,106110.0,100215.0,100215.0,,
3289,Ginger.io,Data Scientist,176195.0,170300.0,182090.0,176195.0,176195.0,,
3290,Mitsubishi Electric Research Laboratories,Data Scientist - Monthly Intern,6550.0,6550.0,6550.0,,,,
3291,Precision Health AI,Data Scientist,160475.0,154580.0,166370.0,159165.0,159165.0,,
3292,Mountain America Credit Union,Data Scientist,114625.0,110040.0,119210.0,113315.0,113315.0,,
3293,Morning Consult,Data Scientist,100870.0,96940.0,104800.0,102180.0,102180.0,,
3294,Weber Shandwick,Data Scientist,120520.0,115280.0,125760.0,19.650000000000002,19.650000000000002,,
3295,BCG Digital Ventures,Data Scientist,136240.0,131000.0,141480.0,136240.0,136240.0,,
3296,Optimal CAE,Data Scientist - Hourly Contractor,81744.0,79019.2,84468.8,,,,
3297,Continental Finance Company,Data Scientist,132965.0,128380.0,137550.0,133620.0,133620.0,,
3298,Soasta,Data Scientist,139515.0,133620.0,145410.0,,,,
3299,Digital First Media,Data Scientist,162440.0,155890.0,168990.0,148030.0,148030.0,,
3300,CSTS Technologies,Data Scientist,109385.0,104800.0,113970.0,108730.0,108730.0,,
3301,Pareto Intelligence,Data Scientist,115935.0,111350.0,120520.0,115280.0,115280.0,13755.0,13755.0
3302,Knowesis,Data Scientist - Contractor,98250.0,94320.0,102180.0,,,,
3303,Epitec,Data Scientist - Contractor,130345.0,125760.0,134930.0,,,,
