,company,salary,lower_bound_salary,upper_bound_salary,base_pay,bonus_pay,cash_bonus,stock_bonus,Position_clean
205,Thames Water,,66120.0,73080.0,70470.0,70470.0,,,Data Scientist
206,GlobalData,,57420.0,62640.0,60900.0,60900.0,,,Data Scientist
207,Johnson Matthey,,53940.0,59160.0,57420.0,57420.0,,,Data Scientist
208,Sky Betting & Gaming,,74820.0,81780.0,78300.0,78300.0,7830.0,,Data Scientist
209,Uber,,57420.0,64380.0,60900.0,60900.0,,,Data Scientist
210,Boston Consulting Group,,97440.0,106140.0,101790.0,101790.0,,,Data Scientist
211,Monzo Bank,,100920.0,107880.0,103530.0,103530.0,,,Data Scientist
212,Gamesys,,57907.2,61526.4,57907.2,57907.2,,,Data Scientist
213,Gamesys,,118320.0,127020.0,27.84,27.84,,,Data Scientist
214,Auto Trader UK,,76560.0,83520.0,80040.0,80040.0,,,Data Scientist
215,Mars,,167040.0,180960.0,174870.0,174870.0,,,Data Scientist
216,Explore Group,,180960.0,196620.0,189660.0,189660.0,,,Data Scientist
217,Zurich Insurance,,59160.0,64380.0,62640.0,62640.0,3480.0,,Data Scientist
218,Queen's University Belfast,,53940.0,59160.0,55680.0,55680.0,,,Data Scientist
219,University of Strathclyde,,59160.0,64380.0,61770.0,61770.0,,,Data Scientist
220,The National Trust,,73080.0,80040.0,75690.0,75690.0,,,Data Scientist
221,Investec,,87000.0,93960.0,90480.0,90480.0,,,Data Scientist
222,Hiscox,,71340.0,74820.0,73080.0,73080.0,,,Data Scientist
223,ITV,,66120.0,69600.0,68730.0,68730.0,,,Data Scientist
224,Veolia,,66120.0,71340.0,68730.0,68730.0,,26.1,Data Scientist
225,Allstate Northern Ireland,,26100.0,27840.0,,,,,Data Scientist Intern
226,Allstate Northern Ireland,,64380.0,69600.0,66990.0,66990.0,,,Data Scientist
227,News UK,,76560.0,83520.0,80040.0,80040.0,,,Data Scientist
228,Allianz,,60900.0,64380.0,62640.0,62640.0,3480.0,,Data Scientist
229,Heat Recruitment,,73080.0,80040.0,75690.0,75690.0,,,Data Scientist
230,Oliver Wyman,,67860.0,73080.0,,,,,Data Scientist
231,Severn Trent,,57420.0,62640.0,60030.0,60030.0,,,Data Scientist
232,AXA UK,,66120.0,71340.0,70470.0,70470.0,3480.0,,Data Scientist
233,BJSS,,93960.0,102660.0,98310.0,98310.0,9570.0,,Data Scientist
234,GE Aviation,,95700.0,104400.0,33060.0,33060.0,,,Data Scientist
235,University of Reading,,52200.0,55680.0,53940.0,53940.0,,,Data Scientist
236,GE Aviation,,31320.0,34800.0,,,,,Data Scientist Intern
237,Roche,,88740.0,95700.0,92220.0,92220.0,,,Data Scientist
238,Roche,,65145.6,72384.0,,,,,Data Scientist
239,Cision,,132240.0,142680.0,136590.0,136590.0,,,Data Scientist
240,Cabinet Office UK,,62640.0,67860.0,65250.0,65250.0,,,Data Scientist
241,Revolut,,123540.0,132240.0,,,,,Data Scientist
242,Citrix,,78300.0,81780.0,80040.0,80040.0,,20880.0,Data Scientist
243,Knight Frank,,83520.0,90480.0,87000.0,87000.0,,,Data Scientist
244,LexisNexis Legal & Professional,,153120.0,165300.0,158340.0,158340.0,,,Data Scientist
245,GE Healthcare,,90480.0,97440.0,93090.0,93090.0,,,Data Scientist
246,NHS Digital,,40020.0,43500.0,41760.0,41760.0,,,Data Scientist
247,Avanade,,104400.0,114840.0,109620.0,109620.0,,,Data Scientist
248,Caterpillar,,60900.0,66120.0,64380.0,64380.0,,,Data Scientist
249,BMW,,29580.0,31320.0,30450.0,30450.0,,,Data Scientist
250,Jagex,,78300.0,83520.0,80040.0,80040.0,8700.0,,Data Scientist
251,Royal Bank of Scotland International,,46980.0,50460.0,48720.0,48720.0,,,Data Scientist
252,Medical Research Council,41760.0,3480.0,3480.0,3480.0,3480.0,,,Data Scientist
253,Citizens Advice,,64380.0,69600.0,66990.0,66990.0,,,Data Scientist
254,Office for National Statistics,,65145.6,72384.0,,,,,Data Scientist
255,Office for National Statistics,,46980.0,50460.0,49590.0,49590.0,,,Data Scientist
256,GE Capital,,102660.0,111360.0,108750.0,108750.0,10440.0,,Data Scientist
257,Tripadvisor,,120060.0,130500.0,125280.0,125280.0,,,Data Scientist
258,Pfizer,,31320.0,33060.0,,,,,Data Scientist Intern
259,"City, University of London",20462.4,1670.4,1740.0,,,,,Data Scientist Intern
260,Science and Technology Facilities Council,,85260.0,92220.0,87000.0,87000.0,,,Data Scientist
261,QBE,,85260.0,90480.0,88740.0,88740.0,8700.0,,Data Scientist
262,Publicis Groupe,,76560.0,81780.0,80040.0,80040.0,,,Data Scientist
263,MS Amlin,,67860.0,73080.0,72210.0,72210.0,,,Data Scientist
264,Freelancer,,17400.0,17400.0,17400.0,17400.0,,,Data Scientist
265,Wavemaker,,59160.0,64380.0,60900.0,60900.0,,,Data Scientist
266,University of Essex,,53940.0,57420.0,54810.0,54810.0,,,Data Scientist
267,N Brown Group,,93960.0,100920.0,97440.0,97440.0,,,Data Scientist
268,Illumina,,29580.0,33060.0,,,,,Data Scientist Intern
269,CACI (UK),,31320.0,34800.0,,,,,Data Scientist Intern
270,Carnival,,52200.0,55680.0,53940.0,53940.0,,,Data Scientist
271,Lonza,,41760.0,45240.0,43500.0,43500.0,,,Data Scientist
272,Trainline,,93960.0,100920.0,,,,,Data Scientist
273,Media by Kantar,,69600.0,73080.0,71340.0,71340.0,,,Data Scientist
274,King,,55680.0,60900.0,,,,,Data Scientist Intern
275,AWE PLC,,111360.0,121800.0,116580.0,116580.0,,,Data Scientist
276,Genpact,,53940.0,57420.0,56550.0,56550.0,,,Data Scientist
277,Syngenta,,73080.0,78300.0,75690.0,75690.0,,,Data Scientist
278,RAC,,62640.0,67860.0,65250.0,65250.0,,,Data Scientist
279,Halliburton,,80040.0,85260.0,82650.0,82650.0,,,Data Scientist
280,Wellcome Trust,,78300.0,85260.0,81780.0,81780.0,,,Data Scientist
281,Tata Steel,,50460.0,53940.0,52200.0,52200.0,,,Data Scientist
282,Department for Transport,,74820.0,81780.0,78300.0,78300.0,,,Data Scientist
283,Quick Connect USA,,109620.0,118320.0,113100.0,113100.0,,,Data Scientist
284,Channel 4,,52200.0,55680.0,53940.0,53940.0,,,Data Scientist
285,Government Digital Service,,88740.0,95700.0,92220.0,92220.0,868.26,,Data Scientist
286,American Express Global Business Travel,,78300.0,83520.0,80040.0,80040.0,,,Data Scientist
287,TES Global,,113100.0,121800.0,117450.0,117450.0,,,Data Scientist
288,Hitachi Consulting,198360.0,15660.0,17400.0,,,,,Data Scientist
289,Kindred Group,,102660.0,111360.0,107880.0,107880.0,,,Data Scientist
290,Red Bull,,34800.0,38280.0,36540.0,36540.0,,,Data Scientist
291,Plymouth University,,55680.0,59160.0,57420.0,57420.0,,,Data Scientist
292,Rolls-Royce Motor Cars,,29580.0,31320.0,,,,,Data Scientist Intern
293,M&C Saatchi,,80040.0,85260.0,83520.0,83520.0,,,Data Scientist
294,SUEZ,,85260.0,92220.0,88740.0,88740.0,8700.0,13920.0,Data Scientist
295,Northern Ireland Civil Service,,53940.0,57420.0,55680.0,55680.0,,,Data Scientist
296,The Manufacturing Technology Centre,,59160.0,62640.0,61770.0,61770.0,,,Data Scientist
297,SAS Institute,,102660.0,109620.0,105270.0,105270.0,,,Data Scientist
298,Twinkl Educational Publishing,,43500.0,46980.0,45240.0,45240.0,,,Data Scientist
299,WarnerMedia,,34800.0,36540.0,,,,,Data Scientist Intern
300,Palantir Technologies,,87000.0,93960.0,90480.0,90480.0,,,Data Scientist
301,Wolters Kluwer,,107880.0,116580.0,111360.0,111360.0,8700.0,,Data Scientist
302,Teradata,,144420.0,154860.0,149640.0,149640.0,,,Data Scientist
303,Qubit,,100920.0,109620.0,101790.0,101790.0,26.1,,Data Scientist
304,Phoenix Group,,109620.0,116580.0,112230.0,112230.0,5220.0,,Data Scientist
305,European Bioinformatics Institute,,50460.0,53940.0,52200.0,52200.0,,,Data Scientist
306,Aberdeen Asset Management,,104400.0,114840.0,,,,,Data Scientist
307,University of Brighton,,60900.0,66120.0,62640.0,62640.0,,,Data Scientist
308,GBG,,76560.0,83520.0,80040.0,80040.0,,,Data Scientist
309,BDP,,71340.0,78300.0,75690.0,75690.0,,,Data Scientist
310,G-Research,,50460.0,53940.0,52200.0,52200.0,,,Data Scientist
311,Yorkshire Water,,69600.0,76560.0,73080.0,73080.0,694.26,,Data Scientist
312,CMC Markets,,111360.0,120060.0,116580.0,116580.0,5.22,,Data Scientist
313,Amnesty International,,81780.0,88740.0,,,,,Data Scientist
314,YouGov,,88740.0,97440.0,93960.0,93960.0,9570.0,,Data Scientist
315,Hotels.com,,92220.0,100920.0,98310.0,98310.0,,,Data Scientist
316,Hitachi Vantara,41760.0,3480.0,3480.0,,,,,Data Scientist Intern
317,Bristol Myers Squibb,,106140.0,113100.0,108750.0,108750.0,,,Data Scientist
318,RELX,,60900.0,64380.0,,,,,Data Scientist
319,Simon-Kucher & Partners,,78300.0,83520.0,80910.0,80910.0,6090.0,,Data Scientist
320,Ebiquity,,50460.0,55680.0,53070.0,53070.0,,,Data Scientist
321,Welsh Water,,53940.0,57420.0,55680.0,55680.0,,,Data Scientist
322,Keele University,,53940.0,57420.0,55680.0,55680.0,,,Data Scientist
323,GAIN Capital,,57420.0,62640.0,60030.0,60030.0,6090.0,,Data Scientist
324,REPL Group,,74820.0,81780.0,78300.0,78300.0,,,Data Scientist
325,Northrop Grumman,,62640.0,67860.0,66120.0,66120.0,5220.0,,Data Scientist
326,Peakon,,74820.0,81780.0,78300.0,78300.0,,,Data Scientist
327,Clarivate,,92220.0,100920.0,95700.0,95700.0,,,Data Scientist
328,JustGiving,,90480.0,97440.0,94830.0,94830.0,,,Data Scientist
329,PRGX Global,,40020.0,43500.0,41760.0,41760.0,,,Data Scientist
330,Workshare,,71340.0,78300.0,,,,,Data Scientist
331,Gousto,,83520.0,90480.0,87000.0,87000.0,,,Data Scientist
332,AKKA Technologies,,48720.0,52200.0,50460.0,50460.0,,,Data Scientist
333,Charles River Associates,,73080.0,78300.0,,,,,Data Scientist Intern
334,Streetbees,,109620.0,118320.0,78.3,78.3,,,Data Scientist
335,Allstate,,26100.0,27840.0,,,,,Data Scientist Intern
336,Streetbees,,155625.6,170102.4,,,,,Data Scientist
337,Giffgaff,,106140.0,113100.0,109620.0,109620.0,17.4,,Data Scientist
338,Curve,,83520.0,92220.0,87870.0,87870.0,,,Data Scientist
339,UCAS,,45240.0,48720.0,,,,,Data Scientist Intern
340,RWE,177480.0,13920.0,15660.0,,,,,Data Scientist
341,UCAS,,57420.0,62640.0,60030.0,60030.0,,,Data Scientist
342,Tandem Bank,,76560.0,83520.0,80040.0,80040.0,,,Data Scientist
343,Findmypast,,64380.0,71340.0,66990.0,66990.0,,,Data Scientist
344,Elevate Credit,,43500.0,46980.0,45240.0,45240.0,,,Data Scientist
345,UCL,,66120.0,71340.0,69600.0,69600.0,,,Data Scientist
346,Cox Automotive,,60900.0,64380.0,61770.0,61770.0,,,Data Scientist
347,Infectious Media,,67860.0,74820.0,71340.0,71340.0,,,Data Scientist
348,Alert Logic,,69600.0,74820.0,70470.0,70470.0,,,Data Scientist
349,NHS Business Services Authority,,60900.0,64380.0,61770.0,61770.0,,,Data Scientist
350,Atom Bank,,46980.0,50460.0,48720.0,48720.0,2610.0,,Data Scientist
