,company,position,salary,lower_bound_salary,upper_bound_salary,url
107,Cisco Systems,Data Scientist - Hourly Intern,$40 - CA$44hourly,CA$40,CA$44,"/Intern-Salary/Cisco-Systems-Canada-Internship-Salary-EI_IE1425.0,13_IL.14,20_IN3.htm?filter.jobTitleFTS=Data+Scientist"
108,Morgan Stanley,Data Scientist,$58K - CA$63K,CA$58K,CA$63K,"/Salary/Morgan-Stanley-Data-Scientist-Canada-Salaries-EJI_IE2282.0,14_KO15,29_IL.30,36_IN3.htm"
109,LoyaltyOne,Data Scientist - Intern,$48K - CA$52K,CA$48K,CA$52K,"/Intern-Salary/LoyaltyOne-Canada-Internship-Salary-EI_IE30540.0,10_IL.11,17_IN3.htm?filter.jobTitleFTS=Data+Scientist"
110,LoyaltyOne,Data Scientist - Hourly Intern,$31 - CA$33hourly,CA$31,CA$33,"/Intern-Salary/LoyaltyOne-Canada-Internship-Salary-EI_IE30540.0,10_IL.11,17_IN3.htm?filter.jobTitleFTS=Data+Scientist"
111,Pratt & Whitney Canada,Data Scientist - Monthly Intern,$2K - CA$3K,CA$2K,CA$3K,"/Intern-Salary/Pratt-and-Whitney-Canada-Canada-Internship-Salary-EI_IE27071.0,24_IL.25,31_IN3.htm?filter.jobTitleFTS=Data+Scientist"
112,CBC/Radio-Canada,Data Scientist,$82K - CA$89K,CA$82K,CA$89K,"/Salary/CBC-Radio-Canada-Data-Scientist-Canada-Salaries-EJI_IE9051.0,16_KO17,31_IL.32,38_IN3.htm"
113,Hootsuite,Data Scientist,$81K - CA$88K,CA$81K,CA$88K,"/Salary/Hootsuite-Data-Scientist-Canada-Salaries-EJI_IE617216.0,9_KO10,24_IL.25,31_IN3.htm"
114,BGIS,Data Scientist,$107K - CA$114K,CA$107K,CA$114K,"/Salary/BGIS-Data-Scientist-Canada-Salaries-EJI_IE1098670.0,4_KO5,19_IL.20,26_IN3.htm"
115,Google,Data Scientist,$38K - CA$42K,CA$38K,CA$42K,"/Salary/Google-Data-Scientist-Canada-Salaries-EJI_IE9079.0,6_KO7,21_IL.22,28_IN3.htm"
116,University of Victoria,Data Scientist - Contractor,$81K - CA$88K,CA$81K,CA$88K,"/Contractors-Salary/University-of-Victoria-Canada-Contractor-Salary-EI_IE146432.0,22_IL.23,29_IN3.htm?filter.jobTitleFTS=Data+Scientist"
117,Ontario Teachers' Pension Plan,Data Scientist - Hourly Intern,$24 - CA$26hourly,CA$24,CA$26,"/Intern-Salary/Ontario-Teachers-Pension-Plan-Canada-Internship-Salary-EI_IE33544.0,29_IL.30,36_IN3.htm?filter.jobTitleFTS=Data+Scientist"
