,company,position,salary,lower_bound_salary,upper_bound_salary,url
200,Overbond,Data Scientist - Monthly Intern,$1K - CA$1K,CA$1K,CA$1K,"/Intern-Salary/Overbond-Canada-Internship-Salary-EI_IE1328075.0,8_IL.9,15_IN3.htm?filter.jobTitleFTS=Data+Scientist"
201,LCI Éducation,Data Scientist,$45K - CA$48K,CA$45K,CA$48K,"/Salary/LCI-Éducation-Data-Scientist-Canada-Salaries-EJI_IE1179478.0,13_KO14,28_IL.29,35_IN3.htm"
202,Two Hat Security,Data Scientist - Monthly Intern,$3K - CA$4K,CA$3K,CA$4K,"/Intern-Salary/Two-Hat-Security-Canada-Internship-Salary-EI_IE1327313.0,16_IL.17,23_IN3.htm?filter.jobTitleFTS=Data+Scientist"
203,Two Hat Security,Data Scientist - Hourly Intern,$9 - CA$10hourly,CA$9,CA$10,"/Intern-Salary/Two-Hat-Security-Canada-Internship-Salary-EI_IE1327313.0,16_IL.17,23_IN3.htm?filter.jobTitleFTS=Data+Scientist"
204,Uncharted,Data Scientist,$111K - CA$119K,CA$111K,CA$119K,"/Salary/Uncharted-Data-Scientist-Canada-Salaries-EJI_IE1526558.0,9_KO10,24_IL.25,31_IN3.htm"
205,Canadian Internet Registration Authority,Data Scientist - Hourly Intern,$23 - CA$25hourly,CA$23,CA$25,"/Intern-Salary/Canadian-Internet-Registration-Authority-Canada-Internship-Salary-EI_IE471254.0,40_IL.41,47_IN3.htm?filter.jobTitleFTS=Data+Scientist"
206,EMAGIN Clean Technologies,Data Scientist,$78K - CA$85K,CA$78K,CA$85K,"/Salary/EMAGIN-Clean-Technologies-Data-Scientist-Canada-Salaries-EJI_IE2347094.0,25_KO26,40_IL.41,47_IN3.htm"
207,Field Effect,Data Scientist,$72K - CA$78K,CA$72K,CA$78K,"/Salary/Field-Effect-Data-Scientist-Canada-Salaries-EJI_IE2281821.0,12_KO13,27_IL.28,34_IN3.htm"
208,daVinci,Data Scientist - Hourly Intern,$24 - CA$26hourly,CA$24,CA$26,"/Intern-Salary/daVinci-Canada-Internship-Salary-EI_IE352392.0,7_IL.8,14_IN3.htm?filter.jobTitleFTS=Data+Scientist"
209,Boréalis (Canada),Data Scientist,$53K - CA$58K,CA$53K,CA$58K,"/Salary/Boréalis-Canada-Data-Scientist-Canada-Salaries-EJI_IE2467768.0,15_KO16,30_IL.31,37_IN3.htm"
210,Upsight,Data Scientist - Monthly,$6K - CA$7K,CA$6K,CA$7K,"/Monthly-Pay/Upsight-Data-Scientist-Canada-Monthly-Pay-EJI_IE808689.0,7_KO8,22_IL.23,29_IN3.htm"
211,CRIM (Computer Research Institute of Montreal),Data Scientist - Hourly Intern,$21 - CA$23hourly,CA$21,CA$23,"/Intern-Salary/CRIM-Computer-Research-Institute-of-Montreal-Canada-Internship-Salary-EI_IE474142.0,44_IL.45,51_IN3.htm?filter.jobTitleFTS=Data+Scientist"
212,Mistplay,Data Scientist,$68K - CA$75K,CA$68K,CA$75K,"/Salary/Mistplay-Data-Scientist-Canada-Salaries-EJI_IE2262062.0,8_KO9,23_IL.24,30_IN3.htm"
213,Gestisoft,Data Scientist - Hourly,$22 - CA$24hourly,CA$22,CA$24,"/Hourly-Pay/Gestisoft-Data-Scientist-Canada-Hourly-Pay-EJI_IE1358758.0,9_KO10,24_IL.25,31_IN3.htm"
214,Quandl,Data Scientist,$71K - CA$77K,CA$71K,CA$77K,"/Salary/Quandl-Data-Scientist-Canada-Salaries-EJI_IE1453034.0,6_KO7,21_IL.22,28_IN3.htm"
215,Neelands Refrigeration,Data Scientist - Intern,$53K - CA$58K,CA$53K,CA$58K,"/Intern-Salary/Neelands-Refrigeration-Canada-Internship-Salary-EI_IE817004.0,22_IL.23,29_IN3.htm?filter.jobTitleFTS=Data+Scientist"
216,Altus Assessments,Data Scientist,$77K - CA$84K,CA$77K,CA$84K,"/Salary/Altus-Assessments-Data-Scientist-Canada-Salaries-EJI_IE1178744.0,17_KO18,32_IL.33,39_IN3.htm"
217,Wish,Data Scientist - Monthly Intern,$5K - CA$6K,CA$5K,CA$6K,"/Intern-Salary/Wish-Canada-Internship-Salary-EI_IE686514.0,4_IL.5,11_IN3.htm?filter.jobTitleFTS=Data+Scientist"
218,Geosyntec Consultants,Data Scientist - Hourly,$27 - CA$30hourly,CA$27,CA$30,"/Hourly-Pay/Geosyntec-Consultants-Data-Scientist-Canada-Hourly-Pay-EJI_IE28995.0,21_KO22,36_IL.37,43_IN3.htm"
219,Cerebri AI,Data Scientist - Monthly,$5K - CA$5K,CA$5K,CA$5K,"/Monthly-Pay/Cerebri-AI-Data-Scientist-Canada-Monthly-Pay-EJI_IE1510134.0,10_KO11,25_IL.26,32_IN3.htm"
220,Opta Information Intelligence,Data Scientist,$83K - CA$89K,CA$83K,CA$89K,"/Salary/Opta-Information-Intelligence-Data-Scientist-Canada-Salaries-EJI_IE1020990.0,29_KO30,44_IL.45,51_IN3.htm"
221,Cerebri AI,Data Scientist,$11K - CA$12K,CA$11K,CA$12K,"/Salary/Cerebri-AI-Data-Scientist-Canada-Salaries-EJI_IE1510134.0,10_KO11,25_IL.26,32_IN3.htm"
222,Power Factors,Data Scientist - Monthly Intern,$2K - CA$2K,CA$2K,CA$2K,"/Intern-Salary/Power-Factors-Canada-Internship-Salary-EI_IE1927187.0,13_IL.14,20_IN3.htm?filter.jobTitleFTS=Data+Scientist"
223,Felix & Paul Studios,Data Scientist,$88K - CA$94K,CA$88K,CA$94K,"/Salary/Felix-and-Paul-Studios-Data-Scientist-Canada-Salaries-EJI_IE1354939.0,22_KO23,37_IL.38,44_IN3.htm"
224,Autotrader,Data Scientist,$120 - CA$131,CA$120,CA$131,"/Salary/Autotrader-Data-Scientist-Canada-Salaries-EJI_IE9979.0,10_KO11,25_IL.26,32_IN3.htm"
225,CSI Consulting,Data Scientist - Contractor,$67K - CA$73K,CA$67K,CA$73K,"/Contractors-Salary/CSI-Consulting-Canada-Contractor-Salary-EI_IE327811.0,14_IL.15,21_IN3.htm?filter.jobTitleFTS=Data+Scientist"
226,KE Solutions,Data Scientist - Intern,$59K - CA$63K,CA$59K,CA$63K,"/Intern-Salary/KE-Solutions-Canada-Internship-Salary-EI_IE1334655.0,12_IL.13,19_IN3.htm?filter.jobTitleFTS=Data+Scientist"
227,Forcepoint,Data Scientist,$90K - CA$98K,CA$90K,CA$98K,"/Salary/Forcepoint-Data-Scientist-Canada-Salaries-EJI_IE1262390.0,10_KO11,25_IL.26,32_IN3.htm"
228,AIRM Consulting,Data Scientist,$67K - CA$73K,CA$67K,CA$73K,"/Salary/AIRM-Consulting-Data-Scientist-Canada-Salaries-EJI_IE3618777.0,15_KO16,30_IL.31,37_IN3.htm"
229,Keela,Data Scientist,$57K - CA$62K,CA$57K,CA$62K,"/Salary/Keela-Data-Scientist-Canada-Salaries-EJI_IE1377664.0,5_KO6,20_IL.21,27_IN3.htm"
230,Prolifics,Data Scientist - Intern,$48K - CA$53K,CA$48K,CA$53K,"/Intern-Salary/Prolifics-Canada-Internship-Salary-EI_IE132102.0,9_IL.10,16_IN3.htm?filter.jobTitleFTS=Data+Scientist"
231,Freelance.com,Data Scientist - Hourly,$48 - CA$51hourly,CA$48,CA$51,"/Hourly-Pay/Freelance-com-Data-Scientist-Canada-Hourly-Pay-EJI_IE3160466.0,13_KO14,28_IL.29,35_IN3.htm"
232,Sia Partners,Data Scientist,$75K - CA$81K,CA$75K,CA$81K,"/Salary/Sia-Partners-Data-Scientist-Canada-Salaries-EJI_IE663009.0,12_KO13,27_IL.28,34_IN3.htm"
233,Outshine,Data Scientist,$49K - CA$53K,CA$49K,CA$53K,"/Salary/Outshine-Data-Scientist-Canada-Salaries-EJI_IE2117377.0,8_KO9,23_IL.24,30_IN3.htm"
234,Enlighted,Data Scientist - Hourly Intern,$32 - CA$34hourly,CA$32,CA$34,"/Intern-Salary/Enlighted-Canada-Internship-Salary-EI_IE458253.0,9_IL.10,16_IN3.htm?filter.jobTitleFTS=Data+Scientist"
235,Chisel AI,Data Scientist,$111K - CA$120K,CA$111K,CA$120K,"/Salary/Chisel-AI-Data-Scientist-Canada-Salaries-EJI_IE2012579.0,9_KO10,24_IL.25,31_IN3.htm"
236,ASL Environmental Sciences,Data Scientist,$65K - CA$72K,CA$65K,CA$72K,"/Salary/ASL-Environmental-Sciences-Data-Scientist-Canada-Salaries-EJI_IE701874.0,26_KO27,41_IL.42,48_IN3.htm"
237,tealbook,Data Scientist - Hourly Intern,$19 - CA$21hourly,CA$19,CA$21,"/Intern-Salary/tealbook-Canada-Internship-Salary-EI_IE2611496.0,8_IL.9,15_IN3.htm?filter.jobTitleFTS=Data+Scientist"
238,Samplits,Data Scientist - Monthly Intern,$882 - CA$962,CA$882,CA$962,"/Intern-Salary/Samplits-Canada-Internship-Salary-EI_IE2130029.0,8_IL.9,15_IN3.htm?filter.jobTitleFTS=Data+Scientist"
239,AltaML,Data Scientist,$81K - CA$88K,CA$81K,CA$88K,"/Salary/AltaML-Data-Scientist-Canada-Salaries-EJI_IE2534656.0,6_KO7,21_IL.22,28_IN3.htm"
240,Via Science,Data Scientist,$77K - CA$83K,CA$77K,CA$83K,"/Salary/Via-Science-Data-Scientist-Canada-Salaries-EJI_IE1108708.0,11_KO12,26_IL.27,33_IN3.htm"
241,Gymtrack,Data Scientist - Monthly,$60K - CA$66K,CA$60K,CA$66K,"/Monthly-Pay/Gymtrack-Data-Scientist-Canada-Monthly-Pay-EJI_IE1255852.0,8_KO9,23_IL.24,30_IN3.htm"
242,SolutionStat,Data Scientist - Hourly,$52 - CA$56hourly,CA$52,CA$56,"/Hourly-Pay/SolutionStat-Data-Scientist-Canada-Hourly-Pay-EJI_IE2427289.0,12_KO13,27_IL.28,34_IN3.htm"
243,Savormetrics,Data Scientist - Hourly Intern,$25 - CA$27hourly,CA$25,CA$27,"/Intern-Salary/Savormetrics-Canada-Internship-Salary-EI_IE1673035.0,12_IL.13,19_IN3.htm?filter.jobTitleFTS=Data+Scientist"
244,SharpestMinds,Data Scientist - Intern,$48K - CA$52K,CA$48K,CA$52K,"/Intern-Salary/SharpestMinds-Canada-Internship-Salary-EI_IE3035455.0,13_IL.14,20_IN3.htm?filter.jobTitleFTS=Data+Scientist"
245,FitFi,Data Scientist,$53K - CA$58K,CA$53K,CA$58K,"/Salary/FitFi-Data-Scientist-Canada-Salaries-EJI_IE2348363.0,5_KO6,20_IL.21,27_IN3.htm"
246,Brizi,Data Scientist,$34K - CA$37K,CA$34K,CA$37K,"/Salary/Brizi-Data-Scientist-Canada-Salaries-EJI_IE947899.0,5_KO6,20_IL.21,27_IN3.htm"
247,Planet Bingo,Data Scientist,$115K - CA$124K,CA$115K,CA$124K,"/Salary/Planet-Bingo-Data-Scientist-Canada-Salaries-EJI_IE344752.0,12_KO13,27_IL.28,34_IN3.htm"
248,Vooban,Data Scientist,$83K - CA$90K,CA$83K,CA$90K,"/Salary/Vooban-Data-Scientist-Canada-Salaries-EJI_IE2187625.0,6_KO7,21_IL.22,28_IN3.htm"
249,SharpestMinds,Data Scientist,$96K - CA$105K,CA$96K,CA$105K,"/Salary/SharpestMinds-Data-Scientist-Canada-Salaries-EJI_IE3035455.0,13_KO14,28_IL.29,35_IN3.htm"
250,Faimdata,Data Scientist,$62K - CA$67K,CA$62K,CA$67K,"/Salary/Faimdata-Data-Scientist-Canada-Salaries-EJI_IE943434.0,8_KO9,23_IL.24,30_IN3.htm"
251,Acerta (Canada),Data Scientist,$59K - CA$64K,CA$59K,CA$64K,"/Salary/Acerta-Canada-Data-Scientist-Canada-Salaries-EJI_IE2234284.0,13_KO14,28_IL.29,35_IN3.htm"
252,deviantArt,Data Scientist,$83K - CA$89K,CA$83K,CA$89K,"/Salary/deviantArt-Data-Scientist-Canada-Salaries-EJI_IE365632.0,10_KO11,25_IL.26,32_IN3.htm"
253,Beam Data,Data Scientist,$63K - CA$68K,CA$63K,CA$68K,"/Salary/Beam-Data-Data-Scientist-Canada-Salaries-EJI_IE2606208.0,9_KO10,24_IL.25,31_IN3.htm"
254,Beam Data,Data Scientist - Hourly Contractor,$34 - CA$36hourly,CA$34,CA$36,"/Contractors-Salary/Beam-Data-Canada-Contractor-Salary-EI_IE2606208.0,9_IL.10,16_IN3.htm?filter.jobTitleFTS=Data+Scientist"
255,Scribd,Data Scientist,$135K - CA$146K,CA$135K,CA$146K,"/Salary/Scribd-Data-Scientist-Canada-Salaries-EJI_IE354208.0,6_KO7,21_IL.22,28_IN3.htm"
256,Dane Street,Data Scientist - Monthly,$2K - CA$2K,CA$2K,CA$2K,"/Monthly-Pay/Dane-Street-Data-Scientist-Canada-Monthly-Pay-EJI_IE4046892.0,11_KO12,26_IL.27,33_IN3.htm"
257,Renda Broadcasting,Data Scientist - Hourly Intern,$51 - CA$55hourly,CA$51,CA$55,"/Intern-Salary/Renda-Broadcasting-Canada-Internship-Salary-EI_IE386931.0,18_IL.19,25_IN3.htm?filter.jobTitleFTS=Data+Scientist"
258,Aitheras,Data Scientist,$62K - CA$67K,CA$62K,CA$67K,"/Salary/Aitheras-Data-Scientist-Canada-Salaries-EJI_IE1275264.0,8_KO9,23_IL.24,30_IN3.htm"
259,Polar Systems,Data Scientist - Hourly,$38 - CA$42hourly,CA$38,CA$42,"/Hourly-Pay/Polar-Systems-Data-Scientist-Canada-Hourly-Pay-EJI_IE714630.0,13_KO14,28_IL.29,35_IN3.htm"
260,Prestige SG-TECH Consulting,Data Scientist - Hourly,$44 - CA$47hourly,CA$44,CA$47,"/Hourly-Pay/Prestige-SG-TECH-Consulting-Data-Scientist-Canada-Hourly-Pay-EJI_IE3994955.0,27_KO28,42_IL.43,49_IN3.htm"
261,YYZ Ventures,Data Scientist,$80K - CA$87K,CA$80K,CA$87K,"/Salary/YYZ-Ventures-Data-Scientist-Canada-Salaries-EJI_IE3875402.0,12_KO13,27_IL.28,34_IN3.htm"
262,Random Forest,Data Scientist,$143K - CA$156K,CA$143K,CA$156K,"/Salary/Random-Forest-Data-Scientist-Canada-Salaries-EJI_IE4062262.0,13_KO14,28_IL.29,35_IN3.htm"
263,patrickmesana,Data Scientist - Monthly,$10K - CA$11K,CA$10K,CA$11K,"/Monthly-Pay/patrickmesana-Data-Scientist-Canada-Monthly-Pay-EJI_IE3354742.0,13_KO14,28_IL.29,35_IN3.htm"
264,Sherbrooke Informatique,Data Scientist - Hourly Contractor,$90 - CA$97hourly,CA$90,CA$97,"/Contractors-Salary/Sherbrooke-Informatique-Canada-Contractor-Salary-EI_IE2355670.0,23_IL.24,30_IN3.htm?filter.jobTitleFTS=Data+Scientist"
265,Losch Engineering,Data Scientist - Intern,$50K - CA$54K,CA$50K,CA$54K,"/Intern-Salary/Losch-Engineering-Canada-Internship-Salary-EI_IE273832.0,17_IL.18,24_IN3.htm?filter.jobTitleFTS=Data+Scientist"
266,Chizindu udum,Data Scientist,$87K - CA$93K,CA$87K,CA$93K,"/Salary/Chizindu-udum-Data-Scientist-Canada-Salaries-EJI_IE3362418.0,13_KO14,28_IL.29,35_IN3.htm"
267,CONCURED,Data Scientist,$67K - CA$72K,CA$67K,CA$72K,"/Salary/CONCURED-Data-Scientist-Canada-Salaries-EJI_IE1687163.0,8_KO9,23_IL.24,30_IN3.htm"
268,Annalect,Data Scientist,$95K - CA$105K,CA$95K,CA$105K,"/Salary/Annalect-Data-Scientist-Canada-Salaries-EJI_IE691051.0,8_KO9,23_IL.24,30_IN3.htm"
269,Trump Pense,Data Scientist - Hourly,$24 - CA$26hourly,CA$24,CA$26,"/Hourly-Pay/Trump-Pense-Data-Scientist-Canada-Hourly-Pay-EJI_IE3422244.0,11_KO12,26_IL.27,33_IN3.htm"
270,Salata,Data Scientist,$76K - CA$84K,CA$76K,CA$84K,"/Salary/Salata-Data-Scientist-Canada-Salaries-EJI_IE993130.0,6_KO7,21_IL.22,28_IN3.htm"
271,Food Banks,Data Scientist,$63K - CA$68K,CA$63K,CA$68K,"/Salary/Food-Banks-Data-Scientist-Canada-Salaries-EJI_IE1896169.0,10_KO11,25_IL.26,32_IN3.htm"
272,Pure Strategy Consulting Inc.,Data Scientist - Contractor,$58K - CA$63K,CA$58K,CA$63K,"/Contractors-Salary/Pure-Strategy-Consulting-Inc-Canada-Contractor-Salary-EI_IE4098223.0,28_IL.29,35_IN3.htm?filter.jobTitleFTS=Data+Scientist"
273,BalloonBox,Data Scientist,$87K - CA$93K,CA$87K,CA$93K,"/Salary/BalloonBox-Data-Scientist-Canada-Salaries-EJI_IE3508047.0,10_KO11,25_IL.26,32_IN3.htm"
274,a i solutions,Data Scientist,$73K - CA$80K,CA$73K,CA$80K,"/Salary/a-i-solutions-Data-Scientist-Canada-Salaries-EJI_IE110486.0,13_KO14,28_IL.29,35_IN3.htm"
275,Business Analytica,Data Scientist - Hourly Intern,$35 - CA$37hourly,CA$35,CA$37,"/Intern-Salary/Business-Analytica-Canada-Internship-Salary-EI_IE605265.0,18_IL.19,25_IN3.htm?filter.jobTitleFTS=Data+Scientist"
276,Ministério da Educação,Data Scientist,$75K - CA$82K,CA$75K,CA$82K,"/Salary/Ministerio-da-Educacao-Data-Scientist-Canada-Salaries-EJI_IE1139133.0,22_KO23,37_IL.38,44_IN3.htm"
277,ePassing,Data Scientist - Intern,$50K - CA$55K,CA$50K,CA$55K,"/Intern-Salary/ePassing-Canada-Internship-Salary-EI_IE1093475.0,8_IL.9,15_IN3.htm?filter.jobTitleFTS=Data+Scientist"
278,Appberry,Data Scientist,$96K - CA$104K,CA$96K,CA$104K,"/Salary/Appberry-Data-Scientist-Canada-Salaries-EJI_IE1988462.0,8_KO9,23_IL.24,30_IN3.htm"
279,Prestige SG-Tech Consulting,Data Scientist - Hourly,$48 - CA$52hourly,CA$48,CA$52,"/Hourly-Pay/Prestige-SG-Tech-Consulting-Data-Scientist-Canada-Hourly-Pay-EJI_IE3994982.0,27_KO28,42_IL.43,49_IN3.htm"
280,SimplicityBI,Data Scientist,$80K - CA$87K,CA$80K,CA$87K,"/Salary/SimplicityBI-Data-Scientist-Canada-Salaries-EJI_IE3356857.0,12_KO13,27_IL.28,34_IN3.htm"
281,Pure Strategic,Data Scientist - Contractor,$58K - CA$62K,CA$58K,CA$62K,"/Contractors-Salary/Pure-Strategic-Canada-Contractor-Salary-EI_IE2130555.0,14_IL.15,21_IN3.htm?filter.jobTitleFTS=Data+Scientist"
282,Global Development Group,Data Scientist,$49K - CA$54K,CA$49K,CA$54K,"/Salary/Global-Development-Group-Data-Scientist-Canada-Salaries-EJI_IE1270940.0,24_KO25,39_IL.40,46_IN3.htm"
283,Datacratic,Data Scientist,$106K - CA$114K,CA$106K,CA$114K,"/Salary/Datacratic-Data-Scientist-Canada-Salaries-EJI_IE2505843.0,10_KO11,25_IL.26,32_IN3.htm"
284,East Asian Observatory,Data Scientist,$75K - CA$82K,CA$75K,CA$82K,"/Salary/East-Asian-Observatory-Data-Scientist-Canada-Salaries-EJI_IE1580468.0,22_KO23,37_IL.38,44_IN3.htm"
285,Sports IQ Analytics,Data Scientist,$84K - CA$92K,CA$84K,CA$92K,"/Salary/Sports-IQ-Analytics-Data-Scientist-Canada-Salaries-EJI_IE3428756.0,19_KO20,34_IL.35,41_IN3.htm"
286,Smats Traffic Solutions ,Data Scientist - Contractor,$60K - CA$64K,CA$60K,CA$64K,"/Contractors-Salary/Smats-Traffic-Solutions-Canada-Contractor-Salary-EI_IE2476129.0,23_IL.24,30_IN3.htm?filter.jobTitleFTS=Data+Scientist"
287,Pretect ,Data Scientist,$101K - CA$109K,CA$101K,CA$109K,"/Salary/Pretect-Data-Scientist-Canada-Salaries-EJI_IE2428091.0,7_KO8,22_IL.23,29_IN3.htm"
288,University of Fujairah,Data Scientist,$48K - CA$52K,CA$48K,CA$52K,"/Salary/University-of-Fujairah-Data-Scientist-Canada-Salaries-EJI_IE1969251.0,22_KO23,37_IL.38,44_IN3.htm"
289,Graphika Print Solution,Data Scientist,$78K - CA$84K,CA$78K,CA$84K,"/Salary/Graphika-Print-Solution-Data-Scientist-Canada-Salaries-EJI_IE2513730.0,23_KO24,38_IL.39,45_IN3.htm"
290,Shopify,Senior Data Scientist,"CA$114,665/yr",CA$85K,CA$153K,"/Salary/Shopify-Senior-Data-Scientist-Canada-Salaries-EJI_IE675933.0,7_KO8,29_IL.30,36_IN3.htm"
291,Capital One,Senior Data Scientist,"CA$94,861/yr",CA$90,CA$115K,"/Salary/Capital-One-Senior-Data-Scientist-Canada-Salaries-EJI_IE3736.0,11_KO12,33_IL.34,40_IN3.htm"
292,RBC,Senior Data Scientist,"CA$110,892/yr",CA$105K,CA$113K,"/Salary/RBC-Senior-Data-Scientist-Canada-Salaries-EJI_IE3358.0,3_KO4,25_IL.26,32_IN3.htm"
293,Capital One,Principal Data Scientist,"CA$121,109/yr",CA$11K,CA$127K,"/Salary/Capital-One-Principal-Data-Scientist-Canada-Salaries-EJI_IE3736.0,11_KO12,36_IL.37,43_IN3.htm"
294,RBC,Data Scientist Co-op - Hourly Intern,CA$27/hr,CA$26,CA$29,"/Intern-Salary/RBC-Canada-Internship-Salary-EI_IE3358.0,3_IL.4,10_IN3.htm?filter.jobTitleFTS=Data+Scientist+Co-op"
295,Scotiabank,Data Scientist Co-op - Monthly Intern,"CA$7,141/mo",CA$1K,CA$13K,"/Intern-Salary/Scotiabank-Canada-Internship-Salary-EI_IE11013.0,10_IL.11,17_IN3.htm?filter.jobTitleFTS=Data+Scientist+Co-op"
296,Capital One,Data Scientist Co-op - Hourly Intern,CA$32/hr,CA$25,CA$35,"/Intern-Salary/Capital-One-Canada-Internship-Salary-EI_IE3736.0,11_IL.12,18_IN3.htm?filter.jobTitleFTS=Data+Scientist+Co-op"
297,TD,Senior Data Scientist,$116K - CA$134K,CA$116K,CA$134K,"/Salary/TD-Senior-Data-Scientist-Canada-Salaries-EJI_IE3767.0,2_KO3,24_IL.25,31_IN3.htm"
298,Scotiabank,Senior Data Scientist,$90K - CA$136K,CA$90K,CA$136K,"/Salary/Scotiabank-Senior-Data-Scientist-Canada-Salaries-EJI_IE11013.0,10_KO11,32_IL.33,39_IN3.htm"
299,Intact,Senior Data Scientist,$87K - CA$101K,CA$87K,CA$101K,"/Salary/Intact-Senior-Data-Scientist-Canada-Salaries-EJI_IE329903.0,6_KO7,28_IL.29,35_IN3.htm"
300,Aviva,Senior Data Scientist,$72K - CA$137K,CA$72K,CA$137K,"/Salary/Aviva-Senior-Data-Scientist-Canada-Salaries-EJI_IE311641.0,5_KO6,27_IL.28,34_IN3.htm"
301,Cerebri AI,Senior Data Scientist,$72K - CA$132K,CA$72K,CA$132K,"/Salary/Cerebri-AI-Senior-Data-Scientist-Canada-Salaries-EJI_IE1510134.0,10_KO11,32_IL.33,39_IN3.htm"
302,Scotiabank,Data Scientist Co-op - Intern,$73K - CA$85K,CA$73K,CA$85K,"/Intern-Salary/Scotiabank-Canada-Internship-Salary-EI_IE11013.0,10_IL.11,17_IN3.htm?filter.jobTitleFTS=Data+Scientist+Co-op"
303,Statistics Canada,Data Scientist Co-op - Hourly Intern,$20 - CA$24hourly,CA$20,CA$24,"/Intern-Salary/Statistics-Canada-Canada-Internship-Salary-EI_IE148502.0,17_IL.18,24_IN3.htm?filter.jobTitleFTS=Data+Scientist+Co-op"
304,University of Toronto,Senior Data Scientist,$146K - CA$160K,CA$146K,CA$160K,"/Salary/University-of-Toronto-Senior-Data-Scientist-Canada-Salaries-EJI_IE31043.0,21_KO22,43_IL.44,50_IN3.htm"
305,CIBC,Senior Data Scientist,$97K - CA$104K,CA$97K,CA$104K,"/Salary/CIBC-Senior-Data-Scientist-Canada-Salaries-EJI_IE3115.0,4_KO5,26_IL.27,33_IN3.htm"
306,IBM,Senior Data Scientist,$88K - CA$96K,CA$88K,CA$96K,"/Salary/IBM-Senior-Data-Scientist-Canada-Salaries-EJI_IE354.0,3_KO4,25_IL.26,32_IN3.htm"
307,Loblaw Companies,Senior Data Scientist,$71K - CA$76K,CA$71K,CA$76K,"/Salary/Loblaw-Companies-Senior-Data-Scientist-Canada-Salaries-EJI_IE4141.0,16_KO17,38_IL.39,45_IN3.htm"
308,Government of Canada,Senior Data Scientist,$96K - CA$102K,CA$96K,CA$102K,"/Salary/Government-of-Canada-Senior-Data-Scientist-Canada-Salaries-EJI_IE156734.0,20_KO21,42_IL.43,49_IN3.htm"
309,Banque Nationale du Canada/National Bank of Canada,Senior Data Scientist,$67K - CA$73K,CA$67K,CA$73K,"/Salary/Banque-Nationale-du-Canada-National-Bank-of-Canada-Senior-Data-Scientist-Canada-Salaries-EJI_IE8010.0,50_KO51,72_IL.73,79_IN3.htm"
310,ADP,Senior Data Scientist,$92K - CA$99K,CA$92K,CA$99K,"/Salary/ADP-Senior-Data-Scientist-Canada-Salaries-EJI_IE64.0,3_KO4,25_IL.26,32_IN3.htm"
311,Ceridian,Senior Data Scientist,$106K - CA$114K,CA$106K,CA$114K,"/Salary/Ceridian-Senior-Data-Scientist-Canada-Salaries-EJI_IE179.0,8_KO9,30_IL.31,37_IN3.htm"
312,LoyaltyOne,Senior Data Scientist,$100K - CA$109K,CA$100K,CA$109K,"/Salary/LoyaltyOne-Senior-Data-Scientist-Canada-Salaries-EJI_IE30540.0,10_KO11,32_IL.33,39_IN3.htm"
313,Economical Insurance,Senior Data Scientist,$81K - CA$89K,CA$81K,CA$89K,"/Salary/Economical-Insurance-Senior-Data-Scientist-Canada-Salaries-EJI_IE7828.0,20_KO21,42_IL.43,49_IN3.htm"
314,Intuit,Senior Data Scientist,$89K - CA$97K,CA$89K,CA$97K,"/Salary/Intuit-Senior-Data-Scientist-Canada-Salaries-EJI_IE2293.0,6_KO7,28_IL.29,35_IN3.htm"
315,Huawei Technologies,Senior Data Scientist - Hourly Contractor,$63 - CA$69hourly,CA$63,CA$69,"/Contractors-Salary/Huawei-Technologies-Canada-Contractor-Salary-EI_IE9304.0,19_IL.20,26_IN3.htm?filter.jobTitleFTS=Senior+Data+Scientist"
316,Self,Senior Data Scientist,$85K - CA$93K,CA$85K,CA$93K,"/Salary/Self-Senior-Data-Scientist-Canada-Salaries-EJI_IE1560378.0,4_KO5,26_IL.27,33_IN3.htm"
317,Boston Consulting Group,Senior Data Scientist,$200K - CA$220K,CA$200K,CA$220K,"/Salary/Boston-Consulting-Group-Senior-Data-Scientist-Canada-Salaries-EJI_IE3879.0,23_KO24,45_IL.46,52_IN3.htm"
318,CHEO,Senior Data Scientist,$81K - CA$88K,CA$81K,CA$88K,"/Salary/CHEO-Senior-Data-Scientist-Canada-Salaries-EJI_IE479151.0,4_KO5,26_IL.27,33_IN3.htm"
319,Mozilla,Senior Data Scientist,$139K - CA$148K,CA$139K,CA$148K,"/Salary/Mozilla-Senior-Data-Scientist-Canada-Salaries-EJI_IE19129.0,7_KO8,29_IL.30,36_IN3.htm"
320,SurveyMonkey,Senior Data Scientist,$130K - CA$140K,CA$130K,CA$140K,"/Salary/SurveyMonkey-Senior-Data-Scientist-Canada-Salaries-EJI_IE347449.0,12_KO13,34_IL.35,41_IN3.htm"
321,GE Digital,Senior Data Scientist,$127K - CA$139K,CA$127K,CA$139K,"/Salary/GE-Digital-Senior-Data-Scientist-Canada-Salaries-EJI_IE714224.0,10_KO11,32_IL.33,39_IN3.htm"
322,Teradata,Senior Data Scientist,$100K - CA$108K,CA$100K,CA$108K,"/Salary/Teradata-Senior-Data-Scientist-Canada-Salaries-EJI_IE14638.0,8_KO9,30_IL.31,37_IN3.htm"
323,Environment and Climate Change Canada,Senior Data Scientist,$107K - CA$117K,CA$107K,CA$117K,"/Salary/Environment-and-Climate-Change-Canada-Senior-Data-Scientist-Canada-Salaries-EJI_IE2550641.0,37_KO38,59_IL.60,66_IN3.htm"
