,company,position,salary,lower_bound_salary,upper_bound_salary,base_pay,bonus_pay,cash_bonus,stock_bonus
1326,Zephyr Health,Data Scientist,$68K - $112K,$68K,$112K,,,,
1327,ShipBob,Data Scientist,$79K - $105K,$79K,$105K,$78K - $107K,$78K - $107K,$10 - $11,$10 - $11
1328,UL,Data Scientist - Hourly Intern,$19 - $29hourly,$19,$29,,,,
1329,Palantir Technologies,Data Scientist,$126K - $149K,$126K,$149K,$127K - $147K,$127K - $147K,$16K - $34K,
1330,NantHealth,Data Scientist,$157K - $172K,$157K,$172K,$156K - $170K,$156K - $170K,$15K - $17K,
1331,"FocusKPI, Inc.",Data Scientist,$81K - $108K,$81K,$108K,$81K - $107K,$81K - $107K,,
1332,RBC,Data Scientist,$99K - $145K,$99K,$145K,$99K - $146K,$99K - $146K,,
1333,Fedex Express,Data Scientist,$94K - $137K,$94K,$137K,$93K - $137K,$93K - $137K,$6K - $8K,$294 - $314
1334,TBWA\Chiat\Day,Data Scientist,$57K - $121K,$57K,$121K,$57K - $123K,$57K - $123K,,
1335,LivingSocial,Data Scientist,$82K - $93K,$82K,$93K,$82K - $94K,$82K - $94K,$5 - $6,
1336,AArete,Data Scientist,$76K - $88K,$76K,$88K,$75K - $88K,$75K - $88K,$1 - $1,
1337,StubHub,Data Scientist,$107K - $144K,$107K,$144K,$108K - $145K,$108K - $145K,$13K - $14K,
1338,Quotient,Data Scientist,$105K - $144K,$105K,$144K,$106K - $143K,$106K - $143K,$10K - $14K,$15K - $22K
1339,Siemens Healthineers,Data Scientist,$100K - $149K,$100K,$149K,$99K - $148K,$99K - $148K,$6K - $7K,$5K - $5K
1340,Equity Methods,Data Scientist,$57K - $62K,$57K,$62K,$57K - $62K,$57K - $62K,,
1341,XANT,Data Scientist,$108K - $116K,$108K,$116K,$109K - $118K,$109K - $118K,,
1342,FedEx,Data Scientist,$86K - $122K,$86K,$122K,$86K - $122K,$86K - $122K,,
1343,Clarity Insights,Data Scientist,$96K - $105K,$96K,$105K,,,,
1344,Explorys,Data Scientist,$80K - $86K,$80K,$86K,$80K - $86K,$80K - $86K,,
1345,John Hancock,Data Scientist,$88K - $158K,$88K,$158K,$87K - $156K,$87K - $156K,$10K - $11K,
1346,Market Track,Data Scientist,$103K - $156K,$103K,$156K,$102K - $157K,$102K - $157K,,
1347,University of Pennsylvania,Data Scientist,$53K - $111K,$53K,$111K,$53K - $111K,$53K - $111K,,
1348,DeepIQ,Data Scientist,$63K - $69K,$63K,$69K,$64K - $69K,$64K - $69K,,
1349,Demeter Analytics Services,Data Scientist,$87K - $123K,$87K,$123K,$89K - $122K,$89K - $122K,,
1350,Moody's Corporation,Data Scientist,$116K - $129K,$116K,$129K,$116K - $128K,$116K - $128K,$11K - $11K,
1351,Greensky,Data Scientist,$98K - $116K,$98K,$116K,$99K - $115K,$99K - $115K,,
1352,PURE Group of Insurance Companies,Data Scientist,$98K - $105K,$98K,$105K,$99K - $105K,$99K - $105K,,
1353,Incedo,Data Scientist,$64K - $79K,$64K,$79K,$64K - $79K,$64K - $79K,,
1354,Patolus Operations,Data Scientist,$74K - $81K,$74K,$81K,$74K - $80K,$74K - $80K,,
1355,Assero Services,Data Scientist,$41K - $45K,$41K,$45K,$41K - $45K,$41K - $45K,,
1356,Fresh Gravity,Data Scientist,$108K - $117K,$108K,$117K,$108K - $119K,$108K - $119K,,
1357,Telenav,Data Scientist,$116K - $137K,$116K,$137K,$115K - $138K,$115K - $138K,,
1358,PayScale,Data Scientist,$58K - $120K,$58K,$120K,$57K - $120K,$57K - $120K,,
1359,Remedy Partners,Data Scientist,$102K - $123K,$102K,$123K,$100K - $124K,$100K - $124K,$10 - $11,
1360,Vesta Corporation,Data Scientist,$91K - $111K,$91K,$111K,$92K - $112K,$92K - $112K,$10K - $11K,
1361,Granular,Data Scientist,$112K - $135K,$112K,$135K,$113K - $136K,$113K - $136K,$2K - $2K,
1362,Contextlogic,Data Scientist,$119K - $193K,$119K,$193K,$117K - $190K,$117K - $190K,,
1363,Atmospheric Data Solutions,Data Scientist - Hourly,$56 - $60hourly,$56,$60,$55 - $61,$55 - $61,,
1364,NYU (New York University),Data Scientist,$78K - $111K,$78K,$111K,$79K - $112K,$79K - $112K,,
1365,Ventyx,Data Scientist - Hourly Intern,$25 - $27hourly,$25,$27,,,,
1366,Sentieon,Data Scientist,$154K - $164K,$154K,$164K,$152K - $165K,$152K - $165K,,
1367,Caesars Entertainment,Data Scientist,$83K - $89K,$83K,$89K,$82K - $89K,$82K - $89K,,
1368,Mitchell Martin,Data Scientist,$136K - $148K,$136K,$148K,$138K - $148K,$138K - $148K,,
1369,Quid,Data Scientist,$169K - $182K,$169K,$182K,$167K - $181K,$167K - $181K,,
1370,Agile Secure Data Exchange,Data Scientist,$123K - $133K,$123K,$133K,$123K - $133K,$123K - $133K,,
1371,Itemize,Data Scientist,$131K - $143K,$131K,$143K,$131K - $143K,$131K - $143K,,
1372,Findream,Data Scientist,$11K - $12K,$11K,$12K,$11K - $12K,$11K - $12K,,$5K - $5K
1373,Res-Intel,Data Scientist - Hourly,$50 - $55hourly,$50,$55,$50 - $55,$50 - $55,,
1374,Alexis Technologies,Data Scientist,$80K - $87K,$80K,$87K,$79K - $87K,$79K - $87K,,
1375,ProLytics,Data Scientist - Monthly Intern,$1K - $1K,$1K,$1K,,,,
1376,Electronic Arts,Data Scientist,$138K - $149K,$138K,$149K,$136K - $149K,$136K - $149K,,
1377,Digital Technology Laboratory,Data Scientist,$147K - $161K,$147K,$161K,$147K - $161K,$147K - $161K,,
1378,Vityou,Data Scientist,$92K - $101K,$92K,$101K,$93K - $101K,$93K - $101K,,
1379,Dow AgroSciences,Data Scientist,$119K - $127K,$119K,$127K,,,,
1380,ASDFSD Ltd,Data Scientist,$101K - $108K,$101K,$108K,,,,
1381,Group W,Data Scientist,$139K - $150K,$139K,$150K,$140K - $151K,$140K - $151K,,
1382,FCB Health Network,Data Scientist,$98K - $106K,$98K,$106K,$97K - $105K,$97K - $105K,,
1383,Mobstaz,Data Scientist,$80K - $86K,$80K,$86K,$80K - $86K,$80K - $86K,,
1384,SOC Telemed,Data Scientist,$93K - $101K,$93K,$101K,$93K - $102K,$93K - $102K,,
1385,American Traffic Solutions,Data Scientist,$103K - $111K,$103K,$111K,"$94,673","$8,966","$8,966",
1386,Kerneos Aluminate Technologies,Data Scientist,$80K - $86K,$80K,$86K,$80K - $87K,$80K - $87K,,
1387,"Levi, Ray and Shoup",Data Scientist - Hourly Intern,$25 - $27hourly,$25,$27,,,,
1388,Trianz,Data Scientist,$93K - $102K,$93K,$102K,$94K - $102K,$94K - $102K,,
1389,Alliant Cooperative Data Solutions,Data Scientist,$108K - $118K,$108K,$118K,$109K - $118K,$109K - $118K,$2K - $2K,
1390,Pactiv,Data Scientist,$87K - $96K,$87K,$96K,$88K - $94K,$88K - $94K,,
1391,Rapid Global Business Solutions (RGBSI),Data Scientist - Hourly Contractor,$28 - $31hourly,$28,$31,,,,
1392,The World Bank,Data Scientist - Hourly Contractor,$36 - $39hourly,$36,$39,,,,
1393,NYC Data Science Academy,Data Scientist - Monthly,$5K - $6K,$5K,$6K,"$122,437",No Reports,,
1394,World Fuel Services,Data Scientist,$51K - $56K,$51K,$56K,$52K - $56K,$52K - $56K,,
1395,Savonix,Data Scientist,$113K - $121K,$113K,$121K,$113K - $121K,$113K - $121K,,
1396,Kohl's,Data Scientist - Contractor,$145K - $158K,$145K,$158K,,,,
1397,Sunstates Security,Data Scientist,$58K - $63K,$58K,$63K,$58K - $62K,$58K - $62K,,
1398,Ask Media Group,Data Scientist - Hourly Intern,$19 - $21hourly,$19,$21,,,,
1399,XPO Logistics,Data Scientist - Hourly Intern,$29 - $32hourly,$29,$32,,,,
1400,Everbridge,Data Scientist - Hourly Intern,$28 - $30hourly,$28,$30,,,,
1401,Naval Undersea Warfare Center,Data Scientist,$83K - $91K,$83K,$91K,$82K - $90K,$82K - $90K,,
1402,Reefpoint Group,Data Scientist,$68K - $74K,$68K,$74K,$67K - $74K,$67K - $74K,,
1403,Audience Media,Data Scientist,$84K - $92K,$84K,$92K,$84K - $92K,$84K - $92K,,
1404,Electric Power Research Institute (EPRI),Data Scientist - Hourly Intern,$26 - $28hourly,$26,$28,,,,
1405,"CSAA Insurance Group, a AAA Insurer",Data Scientist,$128K - $139K,$128K,$139K,$128K - $140K,$128K - $140K,$10K - $11K,
1406,Enquizit,Data Scientist,$109K - $118K,$109K,$118K,$109K - $118K,$109K - $118K,,
1407,SRA International,Data Scientist,$139K - $148K,$139K,$148K,$137K - $150K,$137K - $150K,,
1408,MilliporeSigma,Data Scientist - Hourly,$22 - $23hourly,$22,$23,$29,No Reports,,
1409,Cintra,Data Scientist - Hourly,$37 - $41hourly,$37,$41,$37 - $40,$37 - $40,,
1410,Carlisle & Co,Data Scientist,$114K - $123K,$114K,$123K,$113K - $124K,$113K - $124K,,
1411,Virtual Power Systems,Data Scientist,$129K - $137K,$129K,$137K,$128K - $138K,$128K - $138K,,
1412,Digitize,Data Scientist,$72K - $78K,$72K,$78K,$72K - $78K,$72K - $78K,,
1413,Oncology Analytics,Data Scientist,$118K - $126K,$118K,$126K,$116K - $127K,$116K - $127K,,
1414,Soteria Networks,Data Scientist,$78K - $85K,$78K,$85K,$79K - $86K,$79K - $86K,,
1415,Gilbarco Veeder-Root,Data Scientist,$109K - $117K,$109K,$117K,$109K - $116K,$109K - $116K,,
1416,Xandr,Data Scientist - Hourly Intern,$29 - $31hourly,$29,$31,,,,
1417,Grab Technology,Data Scientist,$149K - $162K,$149K,$162K,$148K - $161K,$148K - $161K,,
1418,Zynga,Data Scientist - Hourly Intern,$42 - $46hourly,$42,$46,,,,
1419,Huntington Ingalls Industries,Data Scientist,$74K - $80K,$74K,$80K,$75K - $80K,$75K - $80K,,
1420,SwitchPitch,Data Scientist - Hourly Intern,$9 - $10hourly,$9,$10,,,,
